[0 0]	1	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[1 1]	1	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[2 3]	0	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[3 6]	0	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[ 4 12]	0	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[ 5 24]	1	[0. 0. 0. 0. 0. 0.]	False	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[ 6 49]	1	[6.65232787 0.61323121 0.05237419 3.02035801 4.15410725 5.38410334]	True	[0.11584827 0.28559175 0.01522748 0.01396669 0.07572259 0.49364313]
[0 0]	1	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[1 1]	0	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[2 2]	0	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[3 4]	0	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[4 8]	0	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[ 5 16]	1	[0. 0. 0. 0. 0. 0.]	False	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[ 6 33]	0	[1.31467477 2.17922309 2.63299757 0.16194893 9.27658681 0.71319734]	True	[0.26013693 0.01564379 0.28861803 0.07774253 0.14743151 0.21042718]
[0 0]	0	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[1 0]	0	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[2 0]	0	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[3 0]	0	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[4 0]	1	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[5 1]	1	[0. 0. 0. 0. 0. 0.]	False	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[6 3]	0	[0.96132316 1.9137132  0.94262497 3.51414795 1.61855745 8.91942003]	True	[0.064602   0.12570873 0.1512016  0.24184656 0.01035115 0.40628994]
[0 0]	1	[0. 0. 0. 0. 0. 0.]	False	[0.14380291 0.08266045 0.03031858 0.11594323 0.3786478  0.24862702]
[1 1]	1	[0. 0. 0. 0. 0. 0.]	False	[0.14380291 0.08266045 0.03031858 0.11594323 0.3786478  0.24862702]
[2 3]	1	[0. 0. 0. 0. 0. 0.]	False	[0.14380291 0.08266045 0.03031858 0.11594323 0.3786478  0.24862702]
[3 7]	0	[0. 0. 0. 0. 0. 0.]	False	[0.14380291 0.08266045 0.03031858 0.11594323 0.3786478  0.24862702]
[ 4 14]	1	[0. 0. 0. 0. 0. 0.]	False	[0.14380291 0.08266045 0.03031858 0.11594323 0.3786478  0.24862702]
